,cities,raw,address,zip
33,"Dothan, AL ",Waffle House in 36303 at 2325 Reeves St,2325 Reeves St,36303
34,"Dothan, AL ",Waffle House in 36303 at 3591 Ross Clark Cir,3591 Ross Clark Cir,36303
35,"Dothan, AL ",Waffle House in 36305 at 4077 W Main St,4077 W Main St,36305
36,"Dothan, AL ",Waffle House in 36305 at 2971 Ross Clark Cir,2971 Ross Clark Cir,36305
37,"Fairhope, AL ",Waffle House in 36532 at 373 S Greeno Rd,373 S Greeno Rd,36532
38,"Fairhope, AL ",Waffle House in 36532 at 373 Greeno Road South,373 Greeno Road South,36532
39,"Foley, AL ",Waffle House in 36535 at 2660 S Mckenzie St,2660 S Mckenzie St,36535
40,"Foley, AL ",Waffle House in 36535 at 12615 Foley Beach Expy,12615 Foley Beach Expy,36535
41,"Foley, AL ",Waffle House in 36535 at 2650 S Mckenzie St,2650 S Mckenzie St,36535
42,"Gadsden, AL ",Waffle House in 35901 at 1000 Rainbow Dr,1000 Rainbow Dr,35901
43,"Gadsden, AL ",Waffle House in 35903 at 102 E Meighan Blvd,102 E Meighan Blvd,35903
44,"Gadsden, AL ",Waffle House in 35903 at 75 E Meighan Blvd,75 E Meighan Blvd,35903
45,"Guntersville, AL ",Waffle House in 35976 at 2053 Gunter Ave,2053 Gunter Ave,35976
46,"Guntersville, AL ",Waffle House in 35976 at 2312 Miller St,2312 Miller St,35976
47,"Huntsville, AL ",Waffle House in 35801 at 3613 Memorial Pkwy SW,3613 Memorial Pkwy SW,35801
48,"Huntsville, AL ",Waffle House in 35802 at 7106 Bailey Creek Cir SE,7106 Bailey Creek Cir SE,35802
49,"Huntsville, AL ",Waffle House in 35811 at 36 Shields Rd,36 Shields Rd,35811
50,"Huntsville, AL ",Waffle House in 35816 at 3818 University Dr Nw,3818 University Dr Nw,35816
51,"Huntsville, AL ",Waffle House in 35816 at 4896 University Dr Nw,4896 University Dr Nw,35816
52,"Huntsville, AL ",Waffle House in 35816 at 3995 University Dr NW,3995 University Dr NW,35816
53,"Mobile, AL ",Waffle House in 36605 at 1754 Dauphin Island Pkwy,1754 Dauphin Island Pkwy,36605
54,"Mobile, AL ",Waffle House in 36606 at 3262 Dauphin St,3262 Dauphin St,36606
55,"Mobile, AL ",Waffle House in 36608 at 5610 Old Shell Rd,5610 Old Shell Rd,36608
56,"Mobile, AL ",Waffle House in 36608 at 3428 Spring Hill Ave,3428 Spring Hill Ave,36608
57,"Mobile, AL ",Waffle House in 36608 at 3651 Airport Blvd,3651 Airport Blvd,36608
58,"Mobile, AL ",Waffle House in 36609-4204 at 5011 Cottage Hill Rd,5011 Cottage Hill Rd,36609
59,"Mobile, AL ",Waffle House in 36619 at 5398 Highway 90 W,5398 Highway 90 W,36619
60,"Mobile, AL ",Waffle House in 36619 at 5448 Highway 90 W,5448 Highway 90 W,36619
61,"Mobile, AL ",Waffle House in 36693 at 3671 Government Blvd,3671 Government Blvd,36693
62,"Mobile, AL ",Waffle House in 36695 at 560 Schillinger Rd S,560 Schillinger Rd S,36695
63,"Mobile, AL ",Waffle House in 36695 at 2423 Schillinger Rd S,2423 Schillinger Rd S,36695
64,"Mobile, AL ",Waffle House in 36695-3923 at 1269 Hillcrest Rd,1269 Hillcrest Rd,36695
65,"Montgomery, AL ",Waffle House in 36105 at 985 W South Blvd,985 W South Blvd,36105
66,"Montgomery, AL ",Waffle House in 36105 at 160 Folmar Pkwy,160 Folmar Pkwy,36105
67,"Montgomery, AL ",Waffle House in 36105 at 90 Folmar Pkwy,90 Folmar Pkwy,36105
68,"Montgomery, AL ",Waffle House in 36106 at 5180 Carmichael Rd,5180 Carmichael Rd,36106
69,"Montgomery, AL ",Waffle House in 36107 at 2627 Zelda Rd,2627 Zelda Rd,36107
70,"Montgomery, AL ",Waffle House in 36107 at 2615 Zelda Road,2615 Zelda Road,36107
71,"Montgomery, AL ",Waffle House in 36109-1105 at 2635 Cong W L Dickinson Dr,2635 Cong W L Dickinson Dr,36109
72,"Montgomery, AL ",Waffle House in 36116 at 4117 Troy Hwy,4117 Troy Hwy,36116
73,"Montgomery, AL ",Waffle House in 36117 at 1157 Eastern Boulevard,1157 Eastern Boulevard,36117
74,"Montgomery, AL ",Waffle House in 36117 at 9225 Boyd-cooper Pkwy,9225 Boyd-cooper Pkwy,36117
75,"Montgomery, AL ",Waffle House in 36117 at 1185 Eastern Blvd,1185 Eastern Blvd,36117
76,"Opelika, AL ",Waffle House in 36801 at Interstate Dr,Interstate Dr,36801
77,"Opelika, AL ",Waffle House in 36801 at 907 Fox Run Pkwy,907 Fox Run Pkwy,36801
78,"Oxford, AL ",Waffle House in 36203 at 545 South Quintard Avenue,545 South Quintard Avenue,36203
79,"Oxford, AL ",Waffle House in 36203 at 65 Jimmy Hinton Dr,65 Jimmy Hinton Dr,36203
80,"Oxford, AL ",Waffle House in 36203 at 545 Quintard Dr,545 Quintard Dr,36203
81,"Ozark, AL ",Waffle House in 36360 at 970 S Us Highway 231,970 S Us Highway 231,36360
82,"Ozark, AL ",Waffle House in 36360 at Hwy 231 S,Hwy 231 S,36360
83,"Pelham, AL ",Waffle House in 35124 at 2965 Pelham Pkwy,2965 Pelham Pkwy,35124
84,"Pelham, AL ",Waffle House in 35124 at 1020 Oak Mountain Park Rd,1020 Oak Mountain Park Rd,35124
85,"Phenix City, AL ",Waffle House in 36867 at 1141 280 Byp,1141 280 Byp,36867
86,"Phenix City, AL ",Waffle House in 36867-2632 at 3707 Summerville Rd,3707 Summerville Rd,36867
87,"Phenix City, AL ",Waffle House in 36870-6526 at 3898 Us Highway 80 W,3898 Us Highway 80 W,36870
88,"Prattville, AL ",Waffle House in 36066 at 2597 Cobbs Ford Rd,2597 Cobbs Ford Rd,36066
89,"Prattville, AL ",Waffle House in 36066 at 791 Business Park Dr,791 Business Park Dr,36066
90,"Prattville, AL ",Waffle House in 36067 at 824 E Main St,824 E Main St,36067
91,"Saraland, AL ",Waffle House in 36571 at 1204 Industrial Pky,1204 Industrial Pky,36571
92,"Saraland, AL ",Waffle House in 36571 at 811 Saraland Blvd S,811 Saraland Blvd S,36571
93,"Theodore, AL ",Waffle House in 36582 at 5579 Highway 90,5579 Highway 90,36582
94,"Theodore, AL ",Waffle House in 36582 at 7031 Theodore Dawes Rd,7031 Theodore Dawes Rd,36582
95,"Troy, AL ",Waffle House in 36081 at 1208 Hwy 231 S,1208 Hwy 231 S,36081
96,"Troy, AL ",Waffle House in 36081 at 103 Hwy 231 N,103 Hwy 231 N,36081
97,"Tuscaloosa, AL ",Waffle House in 35405 at 3421 Mcfarland Blvd E,3421 Mcfarland Blvd E,35405
98,"Tuscaloosa, AL ",Waffle House in 35405 at 5037 Oscar Baxter Dr,5037 Oscar Baxter Dr,35405
99,"Tuscaloosa, AL ",Waffle House in 35405 at 5001 Skyland Blvd E,5001 Skyland Blvd E,35405
100,"Valley, AL ",Waffle House in 36854 at 2800 20th Ave,2800 20th Ave,36854
101,"Valley, AL ",Waffle House in 36854 at 580 Fob James Dr,580 Fob James Dr,36854
0,"Eufaula, AL",single loc,1551 S Eufaula Ave,36027
1,"Lincoln, AL",single loc,670 Magnolia St,35096
2,"Gardendale, AL",single loc,500 Fieldstown Rd,35071
3,"Evergreen, AL",single loc,1635 Ted Bates Rd,36401
4,"Fort Payne, AL",single loc,1410 Glenn Blvd Sw,35968
5,"Daleville, AL",single loc,394 Virginia Ave,36322
6,"Fultondale, AL",single loc,1334 Walker Chapel Rd,35068
7,"Trussville, AL",single loc,1128 N Chalkville Rd,35173
8,"Moody, AL",single loc,2140 Moody Pky,35004
9,"Greenville, AL",single loc,944 Fort Dale Rd,36037
10,"Alabaster, AL",single loc,1104 1st Street South,35007
11,"Sheffield, AL",single loc,4116 N Jackson Hwy,35660
12,"Madison, AL",single loc,8979 Madison Blvd,35758
13,"Satsuma, AL",single loc,6097 Highway 43,36572
14,"Clanton, AL",single loc,2231 7th St S,35046
15,"Loxley, AL",single loc,13101 Flowerwood Rd,36551
16,"Jasper, AL",single loc,801 Highway 78 E,35501
17,"Florence, AL",single loc,2501 Florence Blvd,35630
18,"Pell City, AL",single loc,1205 Martin St N,35125
19,"Jacksonville, AL",single loc,500 Pelham Rd S,36265
20,"Boaz, AL",single loc,10931 Al Highway 168,35957
21,"Bay Minette, AL",single loc,105 Mcmeans Ave,36507
22,"Orange Beach, AL",single loc,25101 Perdido Beach Blvd,36561
23,"Albertville, AL",single loc,80 Al Highway 75 N,35951
24,"Leeds, AL",single loc,1850 Ashville Rd,35094
25,"Alexandria, AL",single loc,119 Big Valley Dr,36250
26,"Childersburg, AL",single loc,33681 Us Highway 280,35044
27,"Northport, AL",single loc,1925 Mcfarland Blvd,35476
28,"Robertsdale, AL",single loc,21582 State Highway 59 S,36567
29,"Enterprise, AL",single loc,637 Boll Weevil Cir,36330
30,"Summerdale, AL",single loc,1024 State Highway 59 S,36580
31,"Gulf Shores, AL",single loc,382 E Beach Blvd,36542
32,"Centre, AL",single loc,2070 W Main St,35960
33,"Tuscumbia, AL",single loc,183 Highway 43 S,35674
34,"Grand Bay, AL",single loc,9190 Grand Bay Wilmer Rd S,36541
35,"Semmes, AL",single loc,3401 Schillinger Rd N,36575
0,"Arkadelphia, AR ",Waffle House in 71923 at 123 Valley Street,123 Valley Street,71923
1,"Arkadelphia, AR ",Waffle House in 71923 at 123 Valley St,123 Valley St,71923
2,"Cabot, AR ",Waffle House in 72023 at 3224 Bill Foster Memorial Hwy,3224 Bill Foster Memorial Hwy,72023
3,"Cabot, AR ",Waffle House in 72023 at 1102 W Main St,1102 W Main St,72023
4,"Conway, AR ",Waffle House in 72032 at 201 Skyline Dr,201 Skyline Dr,72032
5,"Conway, AR ",Waffle House in 72032 at 1816 E Oak St,1816 E Oak St,72032
6,"Conway, AR ",Waffle House in 72032 at 816 E Oak St,816 E Oak St,72032
7,"Conway, AR ",Waffle House in 72032 at 305 Arkansas 365,305 Arkansas 365,72032
8,"Conway, AR ",Waffle House in 72034 at 990 Country Ln,990 Country Ln,72034
9,"Fort Smith, AR ",Waffle House in 72903 at 6323 Rogers Ave,6323 Rogers Ave,72903
10,"Fort Smith, AR ",Waffle House in 72908 at 9009 Highway 71 S,9009 Highway 71 S,72908
11,"Hot Springs National Park, AR ",Waffle House in 71901 at 2017 Central Avenue,2017 Central Avenue,71901
12,"Hot Springs National Park, AR ",Waffle House in 71901 at 111 Central Ave,111 Central Ave,71901
13,"Hot Springs National Park, AR ",Waffle House in 71901-6911 at 2017 Central Ave,2017 Central Ave,71901
14,"Hot Springs National Park, AR ",Waffle House in 71913 at 4761 Central Avenue,4761 Central Avenue,71913
15,"Hot Springs National Park, AR ",Waffle House in 71913-7407 at 4761 Central Ave,4761 Central Ave,71913
16,"Jonesboro, AR ",Waffle House in 72401 at 2905 Phillips Dr,2905 Phillips Dr,72401
17,"Jonesboro, AR ",Waffle House in 72404 at 719 E Parker Rd,719 E Parker Rd,72404
18,"Little Rock, AR ",Waffle House in 72202 at 1220 Rebsamen Park Rd,1220 Rebsamen Park Rd,72202
19,"Little Rock, AR ",Waffle House in 72206 at 3202 Bankhead Dr,3202 Bankhead Dr,72206
20,"Little Rock, AR ",Waffle House in 72209 at 8107 Geyer Springs Rd,8107 Geyer Springs Rd,72209
21,"Little Rock, AR ",Waffle House in 72209 at 7800 Scott Hamilton Dr,7800 Scott Hamilton Dr,72209
22,"Little Rock, AR ",Waffle House in 72211 at 500 S Bowman Rd,500 S Bowman Rd,72211
23,"Little Rock, AR ",Waffle House in 72211-5724 at 201 S Shackleford Rd,201 S Shackleford Rd,72211
24,"North Little Rock, AR ",Waffle House in 72113 at 20514 Hwy 365 N,20514 Hwy 365 N,72113
25,"North Little Rock, AR ",Waffle House in 72114 at 2404 Main St,2404 Main St,72114
26,"North Little Rock, AR ",Waffle House in 72116 at 2505 Mccain Blvd,2505 Mccain Blvd,72116
27,"North Little Rock, AR ",Waffle House in 72117 at 2512 Hwy 161,2512 Hwy 161,72117
28,"Russellville, AR ",Waffle House in 72802 at 3085 E Parkway Dr,3085 E Parkway Dr,72802
29,"Russellville, AR ",Waffle House in 72802 at 2408 N Arkansas Ave,2408 N Arkansas Ave,72802
0,"Jacksonville, AR",single loc,116 Marshall Rd,72076
1,"Forrest City, AR",single loc,2340 N Washington St,72335
2,"Hope, AR",single loc,1407 N Hervey St,71801
3,"Searcy, AR",single loc,3305 E Race Ave,72143
4,"Benton, AR",single loc,1215 Hot Springs Hwy,72019
5,"West Memphis, AR",single loc,2309 S Service Rd,72301
6,"Morrilton, AR",single loc,1410 E Harding St,72110
7,"Beebe, AR",single loc,2200 W Center St,72012
8,"Crawfordsville, AR",single loc,2309 E. Service Rd.,72327
9,"Brinkley, AR",single loc,1407 N Main St,72021
10,"Clarksville, AR",single loc,1238 S Rogers St,72830
11,"Van Buren, AR",single loc,1705 Fayetteville Rd,72956
12,"Bentonville, AR",single loc,2308 Se Walton Blvd,72712
13,"Bryant, AR",single loc,105 Commerce St,72022
14,"Springdale, AR",single loc,1281 S 48th St,72762
15,"Malvern, AR",single loc,1921 Highway 270,72104
16,"Sherwood, AR",single loc,6501 Warden Rd,72120
17,"Fayetteville, AR",single loc,2311 W 6th St,72701
0,"Mesa, AZ ",Waffle House in 85210 at 1423 S Country Club Dr,1423 S Country Club Dr,85210
1,"Mesa, AZ ",Waffle House in 85210 at 1831 S Country Club Dr,1831 S Country Club Dr,85210
2,"Mesa, AZ ",Waffle House in 85215 at 5055 E Mckellips Rd,5055 E Mckellips Rd,85215
3,"Phoenix, AZ ",Waffle House in 85023 at 2516 W Bell Rd,2516 W Bell Rd,85023
4,"Phoenix, AZ ",Waffle House in 85027 at 2627 W Deer Valley Rd,2627 W Deer Valley Rd,85027
5,"Phoenix, AZ ",Waffle House in 85034 at 3363 E University Dr,3363 E University Dr,85034
6,"Phoenix, AZ ",Waffle House in 85034 at 228 S 24th St,228 S 24th St,85034
7,"Phoenix, AZ ",Waffle House in 85035 at 5030 W Mcdowell Rd,5030 W Mcdowell Rd,85035
8,"Phoenix, AZ ",Waffle House in 85043 at 1237 N 59th Ave,1237 N 59th Ave,85043
9,"Phoenix, AZ ",Waffle House in 85048 at 4824 E Chandler Blvd,4824 E Chandler Blvd,85048
10,"Tempe, AZ ",Waffle House  at 101/university,101/university, 101/
11,"Tempe, AZ ",Waffle House in 85281 at 2189 E University Dr,2189 E University Dr,85281
12,"Tempe, AZ ",Waffle House in 85283 at 1801 W Baseline Rd,1801 W Baseline Rd,85283
13,"Tucson, AZ ",Waffle House in 85706 at 2701 E Valencia Rd,2701 E Valencia Rd,85706
14,"Tucson, AZ ",Waffle House in 85713 at 709 W Starr Pass Blvd,709 W Starr Pass Blvd,85713
15,"Tucson, AZ ",Waffle House in 85714 at 3565 E Irvington Rd,3565 E Irvington Rd,85714
16,"Tucson, AZ ",Waffle House in 85741 at 4601 W Ina Rd,4601 W Ina Rd,85741
17,"Tucson, AZ ",Waffle House in 85745 at 1380 W Grant Rd,1380 W Grant Rd,85745
0,"Apache Junction, AZ",single loc,101 E 29th Ave,85219
1,"Tolleson, AZ",single loc,8325 W Mcdowell Rd,85353
2,"Goodyear, AZ",single loc,820 N Dysart Rd,85338
3,"Eloy, AZ",single loc,N Toltec Rd,85131
0,"Santa Ana, CA",single loc,W Civic Center Dr,92701
1,"San Diego, CA",single loc,1750 Camino Del Rio N,92108
0,"Aurora, CO ",Waffle House in 80011-5715 at 14107 E Colfax Ave,14107 E Colfax Ave,80011
1,"Aurora, CO ",Waffle House in 80012-3466 at 12880 E Mississippi Ave,12880 E Mississippi Ave,80012
2,"Colorado Springs, CO ",Waffle House in 80905 at 395 S 8th St,395 S 8th St,80905
3,"Colorado Springs, CO ",Waffle House in 80907 at 755 W Fillmore St,755 W Fillmore St,80907
4,"Colorado Springs, CO ",Waffle House in 80915 at 1039 Space Center Dr,1039 Space Center Dr,80915
5,"Colorado Springs, CO ",Waffle House in 80918 at 4180 Austin Bluffs Pkwy,4180 Austin Bluffs Pkwy,80918
6,"Fort Collins, CO ",Waffle House in 80524 at 616 S College Ave,616 S College Ave,80524
7,"Fort Collins, CO ",Waffle House in 80524 at 3850 E Mulberry St,3850 E Mulberry St,80524
0,"Denver, CO",single loc,3805 Peoria St,80239-3313
1,"Loveland, CO",single loc,1421 E Eisenhower Blvd,80537-3927
2,"Thornton, CO",single loc,8401 Pearl St,80229-4804
3,"Parker, CO",single loc,19312 E Plaza Dr,80138-9066
4,"Littleton, CO",single loc,201 E County Line Rd,80122-8100
5,"Castle Rock, CO",single loc,222 Wolfensberger Rd,80109
6,"Longmont, CO",single loc,3811 Hwy 119,80504-9543
0,"Middletown, DE",single loc,598 W Main St,19709
1,"Smyrna, DE",single loc,37 S Cory Ln,19977-2890
2,"Dover, DE",single loc,4003 N Dupont Hwy,19901
0,"Altamonte Springs, FL ",Waffle House in 32714 at 985 S State Road 434,985 S State Road 434,32714
1,"Altamonte Springs, FL ",Waffle House in 32714 at 278 Douglas Ave,278 Douglas Ave,32714
2,"Brandon, FL ",Waffle House in 33511 at 1412 W Brandon Blvd,1412 W Brandon Blvd,33511
3,"Brandon, FL ",Waffle House in 33511 at 1902 W Lumsden Rd,1902 W Lumsden Rd,33511
4,"Clearwater Beach, FL ",Waffle House in 33767 at 521 S Gulfview Blvd,521 S Gulfview Blvd,33767
5,"Clearwater Beach, FL ",Waffle House in 33767 at 521 South Gulfview Boulevard,521 South Gulfview Boulevard,33767
6,"Crestview, FL ",Waffle House in 32536 at 298 W James Lee Blvd,298 W James Lee Blvd,32536
7,"Crestview, FL ",Waffle House in 32536 at 3804 S Ferdon Blvd,3804 S Ferdon Blvd,32536
8,"Destin, FL ",Waffle House in 32541 at 209 Harbor Blvd,209 Harbor Blvd,32541
9,"Destin, FL ",Waffle House in 32541 at 154 Regions Way,154 Regions Way,32541
10,"Destin, FL ",Waffle House in 32541 at 1067 Highway 98 E,1067 Highway 98 E,32541
11,"Fort Lauderdale, FL ",Waffle House in 33309-3808 at 4840 Powerline Rd,4840 Powerline Rd,33309
12,"Fort Lauderdale, FL ",Waffle House in 33314 at 2580 Davie Road,2580 Davie Road,33314
13,"Fort Lauderdale, FL ",Waffle House in 33317 at 2580 Davie Rd,2580 Davie Rd,33317
14,"Fort Lauderdale, FL ",Waffle House in 33330 at 4689 Volunteer Rd,4689 Volunteer Rd,33330
15,"Fort Lauderdale, FL ",Waffle House in 33331 at 4689 Volunteer Road,4689 Volunteer Road,33331
16,"Fort Myers, FL ",Waffle House in 33901 at 2940 Cleveland Ave,2940 Cleveland Ave,33901
17,"Fort Myers, FL ",Waffle House in 33905 at 4050 Boatways Rd,4050 Boatways Rd,33905
18,"Fort Myers, FL ",Waffle House in 33912 at 9420 Daniels Pkwy,9420 Daniels Pkwy,33912
19,"Fort Pierce, FL ",Waffle House in 34945 at 7147 Okeechobee Rd,7147 Okeechobee Rd,34945
20,"Fort Pierce, FL ",Waffle House in 34947 at 5872 Okeechobee Rd,5872 Okeechobee Rd,34947
21,"Fort Walton Beach, FL ",Waffle House in 32547 at 460 Racetrack Rd Nw,460 Racetrack Rd Nw,32547
22,"Fort Walton Beach, FL ",Waffle House in 32548 at 318 Miracle Strip Pkwy Sw,318 Miracle Strip Pkwy Sw,32548
23,"Fort Walton Beach, FL ",Waffle House in 32548 at 1251 Miracle Strip Pkwy Se,1251 Miracle Strip Pkwy Se,32548
24,"Fort Walton Beach, FL ",Waffle House in 32548 at 263 Miracle Strip Pkwy Se,263 Miracle Strip Pkwy Se,32548
25,"Gainesville, FL ",Waffle House in 32606 at 7611 W Newberry Rd,7611 W Newberry Rd,32606
26,"Gainesville, FL ",Waffle House in 32608 at 2120 SW 13th St,2120 SW 13th St,32608
27,"Gainesville, FL ",Waffle House in 32608 at 3919 SW 40th Blvd,3919 SW 40th Blvd,32608
28,"Gainesville, FL ",Waffle House in 32608-2004 at 2205 SW 13th St,2205 SW 13th St,32608
29,"Gulf Breeze, FL ",Waffle House in 32561 at 831 Gulf Breeze Pky,831 Gulf Breeze Pky,32561
30,"Gulf Breeze, FL ",Waffle House in 32563 at 3340 Gulf Breeze Pky,3340 Gulf Breeze Pky,32563
31,"Gulf Breeze, FL ",Waffle House in 32566 at 8582 Navarre Parkway,8582 Navarre Parkway,32566
32,"Jacksonville, FL ",Waffle House in 32201 at Us Hwy. 301 Bald And I-10,Us Hwy. 301 Bald And I-10,32201
33,"Jacksonville, FL ",Waffle House in 32210 at 4271 Roosevelt Blvd,4271 Roosevelt Blvd,32210
34,"Jacksonville, FL ",Waffle House in 32216 at 5067 J Turner Butler Blvd,5067 J Turner Butler Blvd,32216
35,"Jacksonville, FL ",Waffle House in 32216 at 5208 University Blvd W,5208 University Blvd W,32216
36,"Jacksonville, FL ",Waffle House in 32218 at 14680 Duval Rd,14680 Duval Rd,32218
37,"Jacksonville, FL ",Waffle House in 32218 at 580 Busch Dr,580 Busch Dr,32218
38,"Jacksonville, FL ",Waffle House in 32234 at 1066 Us Highway 301 S,1066 Us Highway 301 S,32234
39,"Jacksonville, FL ",Waffle House in 32254 at 6796 Commonwealth Ave,6796 Commonwealth Ave,32254
40,"Jacksonville, FL ",Waffle House in 32256 at 8243 Western Way,8243 Western Way,32256
41,"Jacksonville, FL ",Waffle House in 32256 at 10140 Philips Hwy,10140 Philips Hwy,32256
42,"Kissimmee, FL ",Waffle House in 34741 at 1512 N John Young Pkwy,1512 N John Young Pkwy,34741
43,"Kissimmee, FL ",Waffle House in 34741 at 1215 W Vine St,1215 W Vine St,34741
44,"Kissimmee, FL ",Waffle House in 34744 at 2037 E Irlo Bronson Memorial Hwy,2037 E Irlo Bronson Memorial Hwy,34744
45,"Kissimmee, FL ",Waffle House in 34746 at 4690 Seven Dwarfs Ln,4690 Seven Dwarfs Ln,34746
46,"Kissimmee, FL ",Waffle House in 34746 at 5391 W Irlo Bronson Memorial Hwy,5391 W Irlo Bronson Memorial Hwy,34746
47,"Kissimmee, FL ",Waffle House in 34747 at 5987 W Irlo Bronson Memorial Hwy,5987 W Irlo Bronson Memorial Hwy,34747
48,"Kissimmee, FL ",Waffle House in 34747 at 7696 West Irlo Bronson Memorial Highway,7696 West Irlo Bronson Memorial Highway,34747
49,"Kissimmee, FL ",Waffle House in 34747 at 5991 West Irlo Bronson Memorial Highway,5991 West Irlo Bronson Memorial Highway,34747
50,"Kissimmee, FL ",Waffle House in 34747 at 7696 W Irlo Bronson Memorial Hwy,7696 W Irlo Bronson Memorial Hwy,34747
51,"Lake City, FL ",Waffle House in 32055 at 3639 W Us Highway 90,3639 W Us Highway 90,32055
52,"Lake City, FL ",Waffle House in 32055-3917 at 212 N Marion Ave,212 N Marion Ave,32055
53,"Lakeland, FL ",Waffle House in 33801 at 812 E Memorial Blvd,812 E Memorial Blvd,33801
54,"Lakeland, FL ",Waffle House in 33805 at 3244 Us-98 N,3244 Us-98 N,33805
55,"Lakeland, FL ",Waffle House in 33805 at 4210 Lakeland Hills Blvd,4210 Lakeland Hills Blvd,33805
56,"Marianna, FL ",Waffle House in 32446 at 4201 Lafayette St,4201 Lafayette St,32446
57,"Marianna, FL ",Waffle House in 32448 at 2215 Highway 71,2215 Highway 71,32448
58,"Midway, FL ",Waffle House in 32343 at 2380 East Brickyard Road,2380 East Brickyard Road,32343
59,"Midway, FL ",Waffle House in 32343 at 2000 E Brick Yard Rd,2000 E Brick Yard Rd,32343
60,"Milton, FL ",Waffle House in 32570 at 5173 Stewart St,5173 Stewart St,32570
61,"Milton, FL ",Waffle House in 32570-4778 at 6558 Caroline St,6558 Caroline St,32570
62,"Milton, FL ",Waffle House in 32571 at 4900 Highway 90,4900 Highway 90,32571
63,"Milton, FL ",Waffle House in 32571 at 4219 Woodbine Road,4219 Woodbine Road,32571
64,"Milton, FL ",Waffle House in 32571 at 4219 Woodbine Rd,4219 Woodbine Rd,32571
65,"Milton, FL ",Waffle House in 32583 at 8555 Keshav Taylor Dr,8555 Keshav Taylor Dr,32583
66,"Milton, FL ",Waffle House in 32583 at 2662 Avalon Blvd,2662 Avalon Blvd,32583
67,"Miramar Beach, FL ",Waffle House in 32550 at 10579 Us-98 W,10579 Us-98 W,32550
68,"Miramar Beach, FL ",Waffle House in 32550 at 130 Scenic Gulf Drive,130 Scenic Gulf Drive,32550
69,"Naples, FL ",Waffle House in 34105 at 6531 Dudley Dr,6531 Dudley Dr,34105
